bioguide_id,first_name,last_name,state_code,state_name,district_number,district_code,district_ordinal,party,chamber,title,title_short,website
C001090,Matt,Cartwright,PA,Pennsylvania,17,PA17,17th,DEMOCRAT,HOUSE,Representative,Rep.,http://cartwright.house.gov
C001091,Joaquin,Castro,TX,Texas,20,TX20,20th,DEMOCRAT,HOUSE,Representative,Rep.,https://castro.house.gov
C001092,Chris,Collins,NY,New York,27,NY27,27th,REPUBLICAN,HOUSE,Representative,Rep.,https://chriscollins.house.gov
C001093,Doug,Collins,GA,Georgia,9,GA09,9th,REPUBLICAN,HOUSE,Representative,Rep.,https://dougcollins.house.gov
C001094,Paul,Cook,CA,California,8,CA08,8th,REPUBLICAN,HOUSE,Representative,Rep.,http://cook.house.gov
C001095,Tom,Cotton,AR,Arkansas,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.cotton.senate.gov
C001096,Kevin,Cramer,ND,North Dakota,0,ND00,At-Large,REPUBLICAN,HOUSE,Representative,Rep.,http://cramer.house.gov
C001097,Tony,Cárdenas,CA,California,29,CA29,29th,DEMOCRAT,HOUSE,Representative,Rep.,https://cardenas.house.gov
C001098,Ted,Cruz,TX,Texas,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.cruz.senate.gov
C001101,Katherine,Clark,MA,Massachusetts,5,MA05,5th,DEMOCRAT,HOUSE,Representative,Rep.,https://katherineclark.house.gov
C001103,Earl,Carter,GA,Georgia,1,GA01,1st,REPUBLICAN,HOUSE,Representative,Rep.,http://buddycarter.house.gov
C001105,Barbara,Comstock,VA,Virginia,10,VA10,10th,REPUBLICAN,HOUSE,Representative,Rep.,https://comstock.house.gov
C001106,Ryan,Costello,PA,Pennsylvania,6,PA06,6th,REPUBLICAN,HOUSE,Representative,Rep.,https://costello.house.gov
C001107,Carlos,Curbelo,FL,Florida,26,FL26,26th,REPUBLICAN,HOUSE,Representative,Rep.,http://curbelo.house.gov
C001108,James,Comer,KY,Kentucky,1,KY01,1st,REPUBLICAN,HOUSE,Representative,Rep.,https://comer.house.gov
C001109,Liz,Cheney,WY,Wyoming,0,WY00,At-Large,REPUBLICAN,HOUSE,Representative,Rep.,https://cheney.house.gov
C001110,J.,Correa,CA,California,46,CA46,46th,DEMOCRAT,HOUSE,Representative,Rep.,https://correa.house.gov
C001111,Charlie,Crist,FL,Florida,13,FL13,13th,DEMOCRAT,HOUSE,Representative,Rep.,https://crist.house.gov
C001112,Salud,Carbajal,CA,California,24,CA24,24th,DEMOCRAT,HOUSE,Representative,Rep.,https://carbajal.house.gov
C001113,Catherine,Cortez Masto,NV,Nevada,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.cortezmasto.senate.gov
D000096,Danny,Davis,IL,Illinois,7,IL07,7th,DEMOCRAT,HOUSE,Representative,Rep.,https://davis.house.gov
D000191,Peter,DeFazio,OR,Oregon,4,OR04,4th,DEMOCRAT,HOUSE,Representative,Rep.,http://defazio.house.gov
D000197,Diana,DeGette,CO,Colorado,1,CO01,1st,DEMOCRAT,HOUSE,Representative,Rep.,http://degette.house.gov
D000216,Rosa,DeLauro,CT,Connecticut,3,CT03,3rd,DEMOCRAT,HOUSE,Representative,Rep.,https://delauro.house.gov
D000399,Lloyd,Doggett,TX,Texas,35,TX35,35th,DEMOCRAT,HOUSE,Representative,Rep.,https://doggett.house.gov
D000482,Michael,Doyle,PA,Pennsylvania,14,PA14,14th,DEMOCRAT,HOUSE,Representative,Rep.,http://doyle.house.gov
D000533,John,Duncan,TN,Tennessee,2,TN02,2nd,REPUBLICAN,HOUSE,Representative,Rep.,http://duncan.house.gov
D000563,Richard J.,Durbin,IL,Illinois,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.durbin.senate.gov
D000598,Susan,Davis,CA,California,53,CA53,53rd,DEMOCRAT,HOUSE,Representative,Rep.,https://susandavis.house.gov
D000600,Mario,Diaz-Balart,FL,Florida,25,FL25,25th,REPUBLICAN,HOUSE,Representative,Rep.,http://mariodiazbalart.house.gov
D000604,Charles,Dent,PA,Pennsylvania,15,PA15,15th,REPUBLICAN,HOUSE,Representative,Rep.,https://dent.house.gov
D000607,Joe,Donnelly,IN,Indiana,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.donnelly.senate.gov
D000610,Theodore,Deutch,FL,Florida,21,FL21,21st,DEMOCRAT,HOUSE,Representative,Rep.,http://frankel.house.gov
D000612,Jeff,Denham,CA,California,10,CA10,10th,REPUBLICAN,HOUSE,Representative,Rep.,http://denham.house.gov
D000614,Sean,Duffy,WI,Wisconsin,7,WI07,7th,REPUBLICAN,HOUSE,Representative,Rep.,https://duffy.house.gov
D000615,Jeff,Duncan,SC,South Carolina,3,SC03,3rd,REPUBLICAN,HOUSE,Representative,Rep.,http://jeffduncan.house.gov
D000616,Scott,DesJarlais,TN,Tennessee,4,TN04,4th,REPUBLICAN,HOUSE,Representative,Rep.,https://desjarlais.house.gov
D000617,Suzan,DelBene,WA,Washington,1,WA01,1st,DEMOCRAT,HOUSE,Representative,Rep.,https://delbene.house.gov
D000618,Steve,Daines,MT,Montana,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.daines.senate.gov
D000619,Rodney,Davis,IL,Illinois,13,IL13,13th,REPUBLICAN,HOUSE,Representative,Rep.,http://rodneydavis.house.gov
D000620,John,Delaney,MD,Maryland,6,MD06,6th,DEMOCRAT,HOUSE,Representative,Rep.,http://delaney.house.gov
D000621,Ron,DeSantis,FL,Florida,6,FL06,6th,REPUBLICAN,HOUSE,Representative,Rep.,http://desantis.house.gov
D000622,Tammy,Duckworth,IL,Illinois,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.duckworth.senate.gov
D000623,Mark,DeSaulnier,CA,California,11,CA11,11th,DEMOCRAT,HOUSE,Representative,Rep.,https://desaulnier.house.gov
D000624,Debbie,Dingell,MI,Michigan,12,MI12,12th,DEMOCRAT,HOUSE,Representative,Rep.,https://debbiedingell.house.gov
D000625,Daniel,Donovan,NY,New York,11,NY11,11th,REPUBLICAN,HOUSE,Representative,Rep.,https://donovan.house.gov
D000626,Warren,Davidson,OH,Ohio,8,OH08,8th,REPUBLICAN,HOUSE,Representative,Rep.,https://davidson.house.gov
D000627,Val,Demings,FL,Florida,10,FL10,10th,DEMOCRAT,HOUSE,Representative,Rep.,https://demings.house.gov
D000628,Neal,Dunn,FL,Florida,2,FL02,2nd,REPUBLICAN,HOUSE,Representative,Rep.,https://dunn.house.gov
E000179,Eliot,Engel,NY,New York,16,NY16,16th,DEMOCRAT,HOUSE,Representative,Rep.,https://engel.house.gov
E000215,Anna,Eshoo,CA,California,18,CA18,18th,DEMOCRAT,HOUSE,Representative,Rep.,http://eshoo.house.gov
E000285,Michael B.,Enzi,WY,Wyoming,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.enzi.senate.gov
E000288,Keith,Ellison,MN,Minnesota,5,MN05,5th,DEMOCRAT,HOUSE,Representative,Rep.,https://ellison.house.gov
E000293,Elizabeth,Esty,CT,Connecticut,5,CT05,5th,DEMOCRAT,HOUSE,Representative,Rep.,https://esty.house.gov
E000294,Tom,Emmer,MN,Minnesota,6,MN06,6th,REPUBLICAN,HOUSE,Representative,Rep.,https://emmer.house.gov
E000295,Joni,Ernst,IA,Iowa,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.ernst.senate.gov
E000296,Dwight,Evans,PA,Pennsylvania,2,PA02,2nd,DEMOCRAT,HOUSE,Representative,Rep.,https://evans.house.gov
E000297,Adriano,Espaillat,NY,New York,13,NY13,13th,DEMOCRAT,HOUSE,Representative,Rep.,https://espaillat.house.gov
F000062,Dianne,Feinstein,CA,California,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.feinstein.senate.gov
F000372,Rodney,Frelinghuysen,NJ,New Jersey,11,NJ11,11th,REPUBLICAN,HOUSE,Representative,Rep.,https://frelinghuysen.house.gov
F000444,Jeff,Flake,AZ,Arizona,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.flake.senate.gov
F000448,Trent,Franks,AZ,Arizona,8,AZ08,8th,REPUBLICAN,HOUSE,Representative,Rep.,https://franks.house.gov
F000449,Jeff,Fortenberry,NE,Nebraska,1,NE01,1st,REPUBLICAN,HOUSE,Representative,Rep.,https://fortenberry.house.gov
F000450,Virginia,Foxx,NC,North Carolina,5,NC05,5th,REPUBLICAN,HOUSE,Representative,Rep.,http://foxx.house.gov
F000454,Bill,Foster,IL,Illinois,11,IL11,11th,DEMOCRAT,HOUSE,Representative,Rep.,http://foster.house.gov
F000455,Marcia,Fudge,OH,Ohio,11,OH11,11th,DEMOCRAT,HOUSE,Representative,Rep.,https://fudge.house.gov
F000457,Al,Franken,MN,Minnesota,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.franken.senate.gov
F000459,Charles,Fleischmann,TN,Tennessee,3,TN03,3rd,REPUBLICAN,HOUSE,Representative,Rep.,http://fleischmann.house.gov
F000460,Blake,Farenthold,TX,Texas,27,TX27,27th,REPUBLICAN,HOUSE,Representative,Rep.,http://farenthold.house.gov
F000461,Bill,Flores,TX,Texas,17,TX17,17th,REPUBLICAN,HOUSE,Representative,Rep.,http://flores.house.gov
F000462,Lois,Frankel,FL,Florida,22,FL22,22nd,DEMOCRAT,HOUSE,Representative,Rep.,http://teddeutch.house.gov
F000463,Deb,Fischer,NE,Nebraska,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.fischer.senate.gov
F000464,John,Faso,NY,New York,19,NY19,19th,REPUBLICAN,HOUSE,Representative,Rep.,https://faso.house.gov
F000465,A.,Ferguson,GA,Georgia,3,GA03,3rd,REPUBLICAN,HOUSE,Representative,Rep.,https://ferguson.house.gov
F000466,Brian,Fitzpatrick,PA,Pennsylvania,8,PA08,8th,REPUBLICAN,HOUSE,Representative,Rep.,https://brianfitzpatrick.house.gov
G000289,Bob,Goodlatte,VA,Virginia,6,VA06,6th,REPUBLICAN,HOUSE,Representative,Rep.,https://goodlatte.house.gov
G000359,Lindsey,Graham,SC,South Carolina,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.lgraham.senate.gov/
G000377,Kay,Granger,TX,Texas,12,TX12,12th,REPUBLICAN,HOUSE,Representative,Rep.,http://kaygranger.house.gov
G000386,Chuck,Grassley,IA,Iowa,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.grassley.senate.gov
G000410,Gene,Green,TX,Texas,29,TX29,29th,DEMOCRAT,HOUSE,Representative,Rep.,https://green.house.gov
G000535,Luis,Gutiérrez,IL,Illinois,4,IL04,4th,DEMOCRAT,HOUSE,Representative,Rep.,https://gutierrez.house.gov
G000546,Sam,Graves,MO,Missouri,6,MO06,6th,REPUBLICAN,HOUSE,Representative,Rep.,https://graves.house.gov
